,Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,cluster
4209,Cereal (General Mills Count Chocula),Cereal (General Mills Count Chocula),57139000,35,53,0,84.5,0,13.1,5.0,772,0,18.5,5.4,521,1.6,6.5,33.09,1.39,1.89,2.29,1.6,0.6,4.69,370,0.148,16.7,30,222,228,488,13.89,526,5.59,1.85,22.2,0.62,1.7,3
4212,Cereal (Kellogg's Crispix),Cereal (Kellogg's Crispix),57148000,0,39,34,87.19,0,6.0,1.0,196,0,24.1,6.59,489,2.04,12.4,12.8,1.8,3.0,0.2,0.3,0.2,0.8,9,0.205,28.0,13,45,71,660,5.19,494,6.19,2.41,21.0,0.1,0.1,3
4213,Cereal,"Cereal, crispy rice",57151000,0,0,0,86.22,0,6.0,0.7,0,0,28.967,6.69,1136,1.288,18.0,12.12,2.05,3.62,0.243,0.293,0.36,1.26,5,0.149,32.73,23,98,106,545,1.3,1136,5.45,1.937,64.5,0.06,0.0,3
4214,Cereal (General Mills Fiber One),Cereal (General Mills Fiber One),57206700,5,9,0,84.3,0,12.3,46.2,360,0,16.7,6.59,0,1.39,9.0,1.0,1.29,3.22,0.5,1.29,0.4,2.29,333,0.185,15.0,53,200,374,356,12.5,1,5.0,1.66,20.0,0.3,0.6,3
4215,Cereal (General Mills Fiber One Honey Clusters),Cereal (General Mills Fiber One Honey Clusters),57206710,0,0,0,83.9,0,27.4,19.0,255,0,19.2,7.69,0,1.6,35.0,17.79,1.2,2.68,0.2,0.69,0.4,2.59,192,0.35,31.2,77,192,372,394,14.39,0,2.9,1.92,11.5,0.62,1.2,3
4216,Cereal (General Mills Fiber One Raisin Bran Clusters),Cereal (General Mills Fiber One Raisin Bran Clusters),57206715,0,0,0,83.4,0,26.6,17.9,232,0,9.1,6.3,0,0.8,30.5,25.6,1.0,5.19,0.2,0.6,0.4,2.29,182,0.364,8.19,58,182,423,337,6.8,0,2.7,0.9,10.9,0.58,1.9,3
4217,Cereal,"Cereal, bran flakes",57207000,0,3,0,81.25,0,31.2,14.2,143,0,16.95,9.65,762,1.45,50.2,16.9,1.3,3.35,0.9,1.35,0.45,2.9,40,0.4,27.95,165,364,434,505,6.4,762,5.1,1.7,0.0,0.79,2.0,3
4218,Cereal (Kellogg's All-Bran Complete Wheat Flakes),Cereal (Kellogg's All-Bran Complete Wheat Flakes),57208000,0,0,0,81.6,0,35.0,17.3,159,0,69.0,10.2,776,5.86,10.5,18.8,5.17,2.5,0.4,1.3,0.4,2.5,39,0.5,62.1,138,517,518,718,51.7,776,21.0,6.9,207.0,46.35,1.4,3
4219,Cereal (Post Bran Flakes),Cereal (Post Bran Flakes),57209000,0,3,0,80.5,0,33.5,18.3,150,0,16.7,9.9,748,1.4,52.5,18.6,1.3,3.4,0.3,1.2,0.4,2.1,44,0.5,28.0,229,449,533,540,5.0,749,5.0,1.7,0.0,0.77,1.4,3
4220,Cereal (General Mills Frankenberry),Cereal (General Mills Frankenberry),57211000,41,63,0,85.4,0,10.9,4.2,956,0,15.19,5.5,413,1.29,19.8,27.29,1.1,1.89,2.09,1.39,0.5,4.3,303,0.129,13.6,24,182,163,458,11.39,420,4.5,1.51,18.2,0.77,1.2,3
